Classificação,Times,Partidas jogadas,Vitórias,Empates,Derrotas,Gols pro,Gols sofridos,Saldo de gol,Pontos,média público,Passes ,Reforços 18/19,Estrangeiros,Média de Idade,Valor mercado,Time,Jogador,Gols
1,Flamengo,38,28,6,4,86,37,49,90,58809.0,20202,163935000,7,2024-06-23,531675000,(Flamengo),Gabigol,25.0
2,Santos,38,22,8,8,60,33,27,74,33661.0,18739,176013000,8,2024-03-23,309599000,(Flamengo),Bruno Henrique,21.0
3,Palmeiras,38,21,11,6,61,32,29,74,32894.0,16277,416295000,4,2024-01-25,635085000,(Bahia),Gilberto,14.0
4,Grêmio,38,19,8,11,64,39,25,65,29624.0,21513,155016000,2,2024-06-23,318375000,(Santos),Eduardo Sasha,14.0
5,Ath Paranaense,38,18,10,10,51,32,19,64,28413.0,19726,221085000,6,2024-07-22,151065000,(Chapecoense),Everaldo,13.0
6,São Paulo,38,17,12,9,39,30,9,63,27049.0,19033,327599000,5,2024-07-22,405585000,(Flamengo),Arrascaeta,13.0
7,Internacional,38,16,9,13,44,39,5,57,26742.0,20116,165825000,9,2024-04-24,276525000,(Fortaleza),W. Paulista,13.0
8,Corinthians,38,14,14,10,42,34,8,56,26674.0,18190,171225000,6,2024-05-23,273599000,(Ceará),T. Galhardo,12.0
9,Fortaleza,38,15,8,15,50,49,1,53,21483.0,15606,41535000,4,2024-05-25,110070000,(Santos),C. Sánchez,12.0
10,Goiás,38,15,7,16,46,64,-18,52,21092.0,13996,40635000,2,2024-07-23,105975000,(Grêmio),Everton,11.0
11,Bahia,38,12,13,13,44,43,1,49,20651.0,16564,148725000,1,2024-08-24,190035000,,,
12,Vasco da Gama,38,12,13,13,39,45,-6,49,19044.0,15252,82035000,4,2024-05-23,196875000,,,
13,Atlético Mineiro,38,13,9,16,45,49,-4,48,17425.0,18064,157185000,8,2024-05-23,224549000,,,
14,Fluminense,38,12,10,16,38,46,-8,46,16751.0,21495,543060000,2,2024-09-22,179325000,,,
15,Botafogo (RJ),38,13,4,21,31,45,-14,43,15449.0,17550,138006000,5,2024-03-23,148950000,,,
16,Ceará,38,10,9,19,36,41,-5,39,14935.0,15897,44046000,0,2024-06-25,99675000,,,
17,Cruzeiro,38,7,15,16,27,46,-19,36,12015.0,18869,93006000,4,2024-08-23,231435000,,,
18,CSA,38,8,8,22,24,58,-34,32,10388.0,13965,27081000,7,2024-03-26,129015000,,,
19,Chapecoense,38,7,11,20,31,52,-21,32,8338.0,14787,78885000,2,2024-06-25,148725000,,,
20,Avaí,38,3,11,24,18,62,-44,20,7.43,16439,17055000,4,2024-02-24,56699000,,,
